a1,a2,b1,N_mito,fraction_in_loops,number_of_loops,largest_component_size,number_of_components,no_cycles,one_cycle,many_cycles,degree_1,degree_2,degree_3,x_axis
0.2,0.0,0.001,50,0.8057254901960784,1.5,0.9122745098039216,1.9,0.19427450980392158,0.8057254901960784,0.0,0.01584313725490196,0.9841568627450981,0.0,10000.0
0.2,0.0,0.01,50,0.33725490196078434,1.0,0.9022850678733032,1.9,0.6627450980392157,0.33725490196078434,0.0,0.035143288084464555,0.9648567119155356,0.0,1000.0
0.2,0.0,0.1,50,0.04152018491641133,0.5,0.4840052679675321,4.0,0.9584798150835887,0.04152018491641133,0.0,0.13139547384830402,0.8686045261516961,0.0,100.0
0.2,0.0,1.0,50,0.005263157894736842,0.1,0.1826365408406042,10.6,0.9947368421052631,0.005263157894736842,0.0,0.346542110669734,0.653457889330266,0.0,10.0
0.2,0.0,10.0,50,0.0,0.0,0.0879137748467419,26.4,1.0,0.0,0.0,0.6902809905210132,0.30971900947898684,0.0,1.0
0.2,0.0,20.0,50,0.0,0.0,0.06907104438303151,29.8,1.0,0.0,0.0,0.7471410607022095,0.25285893929779035,0.0,0.5
0.2,0.0,50.0,50,0.0,0.0,0.04862238711934161,38.5,1.0,0.0,0.0,0.8696465483743717,0.13035345162562847,0.0,0.2
0.2,0.0,80.0,50,0.0,0.0,0.051126978673258126,40.3,1.0,0.0,0.0,0.8932301015687185,0.10676989843128146,0.0,0.125
0.2,0.0,100.0,50,0.0,0.0,0.045207539404942036,41.0,1.0,0.0,0.0,0.9002832581714684,0.09971674182853166,0.0,0.1
0.2,0.0,150.0,50,0.0,0.0,0.035917242614694735,44.6,1.0,0.0,0.0,0.9423859985732973,0.05761400142670272,0.0,0.06666666666666667
0.2,0.0,200.0,50,0.0,0.0,0.031578947368421054,45.0,1.0,0.0,0.0,0.9473684210526316,0.05263157894736842,0.0,0.05
0.2,0.0,500.0,50,0.0,0.0,0.03400374408876657,47.1,1.0,0.0,0.0,0.969992608266773,0.03000739173322694,0.0,0.02
0.2,0.0,800.0,50,0.0,0.0,0.032918360767904845,47.4,1.0,0.0,0.0,0.9729045228665288,0.027095477133471053,0.0,0.0125
0.2,0.0,1000.0,50,0.0,0.0,0.03155896788115633,48.4,1.0,0.0,0.0,0.983495396869257,0.016504603130742947,0.0,0.01
